Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
MAPK1	mitogen-activated protein kinase 1	5594.0	22:21754500-21867629	1	Yes	22q11.22	yes		CLL, ovarian mixed germ cell tumour, cervical carcinoma			E, L	Dom	oncogene	Mis				CCDS13795.1,ENSG00000100030.14,ERK,ERK2,MAPK2,NM_002745.4,NP_002736,P28482,PRKM1,PRKM2,p41mapk
MDM2	Mdm2 p53 binding protein homolog	4193.0	12:68808176-68850686	1		12q15	yes		sarcoma, glioma, colorectal, other tumour types			M, O, E, L	Dom	oncogene	A				CCDS8986.2,ENSG00000135679.23,HDM2,MGC5370,NM_002392.5,NP_002383,Q00987
MDM4	Mdm4 p53 binding protein homolog	4194.0	1:204516383-204558120	1		1q32.1	yes		glioblastoma, bladder, retinoblastoma			M	Dom	oncogene	A				CCDS1447.1,ENSG00000198625.12,HDMX,MDMX,NM_002393.4,NP_002384,O15151
MECOM	MDS1 and EVI1 complex locus	2122.0	3:169083499-169146305	1		3q26.2	yes		AML, CML, MDS			L	Dom	oncogene, fusion	T	RUNX1, ETV6, PRDM16, RPN1			CCDS54670.1,ENSG00000085276.17,EVI1,KMT8E,MDS1,MDS1-EVI1,NM_001105077.3,NP_001098547,PRDM3,Q03112
MET	met proto-oncogene (hepatocyte growth factor receptor)	4233.0	7:116672405-116796342	1	Yes	7q31.2	yes		papillary renal, head-neck squamous cell	papillary renal	familial papillary renal cancer	E	Dom	oncogene	Mis				CCDS47689.1,DFNB97,ENSG00000105976.14,HGFR,NM_001127500.2,NP_001120972,P08581,RCCP2
MITF	melanogenesis-associated transcription factor	4286.0	3:69739435-69968336	1		3p13	yes		melanoma			E	Dom	oncogene	A		yes	Waardenburg syndrome type 2, Tietz syndrome	CCDS43106.1,ENSG00000187098.15,MI,NM_198159.2,NP_937802,NP_001341534.1,NP_001341535.1,NP_001341533.1,O75030,WS2,WS2A,bHLHe32
MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)	8028.0	10:21534343-21743630	1	Yes	10p12.31	yes		AL			L	Dom	oncogene, fusion	T	KMT2A, PICALM, CDK6			AF10,CCDS55708.1,ENSG00000078403.16,P55197
MN1	MN1 proto-oncogene, transcriptional regulator	4330.0	22:27748277-27801498	1		22q12.1	yes		AML, MDS			L	Dom	oncogene, fusion	T	ETV6			CCDS42998.1,ENSG00000169184.5,MGCR,MGCR1,MGCR1-PEN,NM_002430.2,NP_002421,Q10571
MPL	myeloproliferative leukaemia virus oncogene, thrombopoietin receptor	4352.0	1:43337849-43352772	1	Yes	1p34.2	yes	yes	MPN	MPN	familial essential thrombocythemia	L	Dom	oncogene	Mis		yes	Congenital amegakaryocytic thrombocytopenia	CCDS483.1,CD110,ENSG00000117400.17,NM_005373.2,NP_005364,P40238,TPOR
MRTFA	megakaryoblastic leukemia (translocation) 1	57591.0	22:40411390-40533635	1		22q13.2	yes		acute megakaryocytic leukaemia			L	Dom	oncogene, TSG, fusion	T	RBM15			BSAC,CCDS82720.1,ENSG00000196588.15,KIAA1438,MAL,MKL,MKL1,MRTF-A,NM_001318139.1,NP_001305068
MSI2	musashi homolog 2 (Drosophila)	124540.0	17:57256534-57684685	1		17q22	yes		CML			L	Dom	oncogene, fusion	T	HOXA9			CCDS11596.1,ENSG00000153944.10,NM_138962.3,NP_620412,Q96DH6
MTCP1	mature T-cell proliferation 1	4515.0	X:155064034-155071226	1		Xq28	yes		T cell prolymphocytic leukaemia			L	Dom	oncogene, fusion	T	TRA			CCDS44027.1,ENSG00000214827.9,NM_001018025.3,NP_001018025,P13MTCP1,P56278,p8MTCP1
MTOR	mechanistic target of rapamycin	2475.0	1:11106535-11262507	1	Yes	1p36.22	yes		endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types			E	Dom	oncogene	Mis, N		yes	Smith-Kingsmore syndrome, brain overgrowth phenotypes such as focal cortical dysplasia and megalencephaly,	CCDS127.1,ENSG00000198793.12,FLJ44809,FRAP,FRAP1,FRAP2,NM_004958.3,NP_004949,P42345,RAFT1,RAPT1
MUC16	mucin 16, cell surface associated	94025.0	19:8848844-8981342	2		19p13.2	yes		HNSCC, melanoma			E		oncogene	Mis				CA125,CCDS54212.1,ENSG00000181143.15,FLJ14303,NM_024690.2,NP_078966,Q8WXI7
MUC4	mucin 4, cell surface associated	4585.0	3:195746765-195812277	2		3q29	yes		HNSCC			E		oncogene	Mis, O				CCDS54700.1,ENSG00000145113.21,NM_018406.6,NP_060876
MYB	v-myb myeloblastosis viral oncogene homolog	4602.0	6:135181315-135219167	1		6q23.3	yes		adenoid cystic carcinoma			E	Dom	oncogene, fusion	T	NFIB			CCDS47481.1,ENSG00000118513.18,NM_001130173.1,NP_001123645,P10242,c-myb
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	4609.0	8:127736069-127741434	1	Yes	8q24.21	yes		Burkitt lymphoma, amplified in other cancers, B-CLL			L, E	Dom	oncogene, fusion	A, T	IGK, BCL5, BCL7A , BTG1, TRA, IGH			CCDS6359.2,ENSG00000136997.17,MYCC,NM_002467.4,NP_002458,NP_002458.2,bHLHe39,c-Myc
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	4610.0	1:39895426-39902013	1		1p34.2	yes		small cell lung carcinoma			E	Dom	oncogene	A				CCDS53300.1,ENSG00000116990.10,LMYC,MYCL1,NM_001033082.2,NP_001028254,P12524,bHLHe38
MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	4613.0	2:15940564-15947007	1		2p24.3	yes		neuroblastoma, Wilms tumour			O	Dom	oncogene	A, Mis		yes	Feingold syndrome 1	CCDS1687.1,ENSG00000134323.11,MYCNOT,N-myc,NMYC,NM_005378.5,NP_001280157,NP_005369,NP_001280162.1,P04198,bHLHe37
MYD88	myeloid differentiation primary response gene (88)	4615.0	3:38138478-38143019	1	Yes	3p22.2	yes		ABC-DLBCL			L	Dom	oncogene	Mis				CCDS54565.1,ENSG00000172936.12,NM_001172567.1,NP_001166038
MYOD1	myogenic differentiation 1	4654.0	11:17719568-17722131	1	Yes	11p15.1	yes		embryonal rhabdomyosarcoma			M	Dom	oncogene	Mis				CCDS7826.1,ENSG00000129152.3,MYF3,MYOD,NM_002478.4,NP_002469,P15172,PUM,bHLHc1
NCOA2	nuclear receptor coactivator 2 (TIF2)	10499.0	8:70109762-70403805	1	Yes	8q13.3	yes		AML, chondrosarcoma, rhabdomyosarcoma			L, M	Dom	oncogene, fusion	T	KAT6A, HEY1, NCOA2			CCDS47872.1,ENSG00000140396.12,GRIP1,KAT13C,NCoA-2,NM_006540.3,NP_001308636,NP_006531,NP_001308632,NP_001308641.1,NP_001308642.1,NP_001308640.1,Q15596,TIF2,bHLHe75
NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	4773.0	20:51386957-51542719	1		20q13.2	yes		Ewing sarcoma			M	Dom	oncogene, fusion	T	EWSR1			CCDS13437.1,ENSG00000101096.19,NF-ATP,NFAT1,NFATp,NM_173091.3,NP_775114,NP_001245226.1,Q13469
NFE2L2	nuclear factor (erythroid-derived 2)-like 2 (NRF2)	4780.0	2:177230305-177265131	1	Yes	2q31.2	yes		NSCLC, HNSCC			E	Dom	oncogene, TSG	Mis				CCDS42782.1,ENSG00000116044.15,NM_006164.4,NP_006155,NP_001300831.1,NP_001300832.1,NRF2,Q16236
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	4791.0	10:102394597-102402524	1		10q24.32	yes		B-NHL			L	Dom	oncogene, TSG, fusion	T	IGH			CCDS41564.1,ENSG00000077150.18,LYT-10,NF-kB2,NM_001322935.1,NP_001309863,NP_001070962,NP_001309864.1,Q00653,p105,p49/p100,p52
NKX2-1	NK2 homeobox 1	7080.0	14:36516392-36520228	1		14q13.3	yes		NSCLC			E	Dom	oncogene, TSG	A				BCH,CCDS41945.1,ENSG00000136352.17,NKX2A,NM_001079668.2,NP_001073136,P43699,TITF1,TTF-1,TTF1
NOTCH1	Notch homolog 1, translocation-associated (Drosophila) (TAN1)	4851.0	9:136494433-136545786	1	Yes	9q34.3	yes		T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC			L, E	Dom/Rec	oncogene, TSG, fusion	T, Mis, O	TRB, SEC16A, GABBR2			CCDS43905.1,ENSG00000148400.10,NM_017617.4,NP_060087,P46531,TAN1
NOTCH2	Notch homolog 2	4853.0	1:119911553-120069626	1	Yes	1p12	yes		marginal zone lymphoma, DLBCL, bladder			L, E	Dom/Rec	oncogene, TSG	N, F, Mis		yes	Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome	CCDS908.1,ENSG00000134250.19,NM_024408.3,NP_077719,NP_001186930.1,Q04721
NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	4869.0	5:171387648-171411137	1	Yes	5q35.1	yes		NHL, APL, AML			L	Dom	oncogene, fusion	T, F	ALK, RARA, MLF1			B23,CCDS4376.1,ENSG00000181163.13,NM_002520.6,NPM,NP_002511,P06748
NR4A3	nuclear receptor subfamily 4, group A, member 3 (NOR1)	8013.0	9:99821855-99866891	1		9q31.1	yes		extraskeletal myxoid chondrosarcoma			M	Dom	oncogene, fusion	T	EWSR1, TAF15, TCF12, TFG			CCDS6742.1,CHN,CSMF,ENSG00000119508.17,MINOR,NM_173200.2,NOR1,NP_775292,Q92570
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	4893.0	1:114704469-114716894	1	Yes	1p13.2	yes		melanoma, MM, AML, thyroid			L, E	Dom	oncogene	Mis				CCDS877.1,ENSG00000213281.4,N-ras,NM_002524.4,NP_002515,P01111
NSD2	Wolf-Hirschhorn syndrome candidate 1(MMSET)	7468.0	4:1892845-1982207	1		4p16.3	yes		MM			L	Dom	oncogene, fusion	T	IGH			CCDS33940.1,ENSG00000109685.17,KMT3G,MMSET,NM_133330.2,NP_579877,O96028,WHSC1
NSD3	Wolf-Hirschhorn syndrome candidate 1-like 1 (NSD3)	54904.0	8:38269697-38382272	1		8p11.23	yes		AML			L	Dom	oncogene, fusion	T, A	NUP98			CCDS43729.1,ENSG00000147548.16,FLJ20353,KMT3F,NM_023034.1,NP_075447,Q9BZ95,WHISTLE,WHSC1L1
NT5C2	5'-nucleotidase, cytosolic II	22978.0	10:103088018-103193306	1	Yes	10q24.33	yes		relapse ALL			L	Dom	oncogene	Mis		yes	Spastic paraplegia-45	CCDS7544.1,ENSG00000076685.18,GMP,NM_012229.4,NP_001127845,NP_036361,NP_001338098.1,NT5B,P49902,PNT5,SPG65,cN-II
NTRK1	neurotrophic tyrosine kinase, receptor, type 1	4914.0	1:156860894-156881642	1	Yes	1q23.1	yes		papillary thyroid, Spitzoid tumour			E	Dom	oncogene, TSG, fusion	T, A	TPM3, TPR, TFG, TP53, LMNA			CCDS1161.1,ENSG00000198400.11,MTC,NM_002529.3,NP_002520,P04629,TRK,TRKA
NTRK2	Neurotrophic Receptor Tyrosine Kinase 2	4915.0	9:84669778-85027070	1		9q21.33	yes		colorectal cancer, ganglioglioma, glioma, HNSCC, lung adenocarcinoma			E, O		oncogene, fusion	T, Mis	AFAP1, BCR, QK1, SQSTM1			CCDS6671.1,ENSG00000148053.15,Q16620,TRKB
NTRK3	neurotrophic tyrosine kinase, receptor, type 3	4916.0	15:87876757-88256731	1	Yes	15q25.3	yes		congenital fibrosarcoma, secretory breast			E, M	Dom	oncogene, fusion	T	ETV6			CCDS32322.1,ENSG00000140538.16,NM_001012338.2,NP_001012338,Q16288,TRKC
NUP98	nucleoporin 98kDa	4928.0	11:3675010-3797792	1		11p15.4	yes		AML			L	Dom	oncogene, fusion	T	HOXA9, NSD1, WHSC1L1, DDX10, TOP1, HOXD13, PRRX1, HOXA13, HOXD11, HOXA11, RAP1GDS1, HOXC11			CCDS7746.1,ENSG00000110713.15,NM_016320.4,NP_057404,NUP96,P52948
NUTM1	NUT midline carcinoma, family member 1	256646.0	15:34343315-34357728	1		15q14	yes		lethal midline carcinoma			E	Dom	oncogene, fusion	T	BRD3, BRD4			C15orf55,CCDS61585.1,DKFZp434O192,ENSG00000184507.15,FAM22H,NM_001284292.1,NP_001271221,NP_001271221.1,NUT,Q86Y26
OLIG2	oligodendrocyte lineage transcription factor 2 (BHLHB1)	10215.0	21:33025935-33029196	1		21q22.11	yes		T-ALL			L	Dom	oncogene, fusion	T	TRA			BHLHB1,CCDS13620.1,ENSG00000205927.4,OLIGO2,PRKCBP2,Q13516,RACK17,bHLHe19
P2RY8	purinergic receptor P2Y, G-protein coupled, 8	286530.0	X:1462572-1537107	1		Xp22.33	yes		B-ALL, Down syndrome associated ALL			L	Dom	oncogene, fusion	T	CRLF2			CCDS14115.1,ENSG00000182162.10,NM_178129.4,NP_835230,P2Y8,Q86VZ1
PABPC1	poly(A) binding protein cytoplasmic 1	26986.0	8:100702916-100722712	2		8q22.3	yes		HNSCC, biliary tract carcinoma			E		oncogene, TSG	Mis, F				CCDS6289.1,ENSG00000070756.15,NM_002568.3,NP_002559,P11940,PAB1,PABP1,PABPC2,PABPL1
PAX3	paired box gene 3	5077.0	2:222199888-222298981	1	Yes	2q36.1	yes		alveolar rhabdomyosarcoma			M	Dom	oncogene, fusion	T	FOXO1, NCOA1, NCOA2	yes	Waardenburg syndrome; craniofacial-deafness-hand syndrome	CCDS2448.1,ENSG00000135903.19,HUP2,NM_181459.3,NP_852124,P23760,WS1
PAX5	paired box gene 5 (B-cell lineage specific activator protein)	5079.0	9:36833275-37034185	1	Yes	9p13.2	yes		NHL, ALL, B-ALL			L	Dom	oncogene, TSG, fusion	T, Mis, D, F, S	IGH, ETV6, PML, FOXP1, ZNF521, ELN			BSAP,CCDS6607.1,ENSG00000196092.12,NM_016734.2,NP_057953,Q02548
PBX1	pre-B-cell leukemia transcription factor 1	5087.0	1:164559635-164851831	1	Yes	1q23.3	yes		pre B-ALL, myoepithelioma			L, M	Dom	oncogene, fusion	T	TCF3, EWSR1			CCDS1246.1,ENSG00000185630.18,NM_002585.3,NP_002576,NP_001340059.1,P40424
PDCD1LG2	programmed cell death 1 ligand 2	80380.0	9:5510570-5571254	1	Yes	9p24.1	yes		PMBL, Hodgkin lymphoma			L	Dom	oncogene, fusion	T	CIITA			B7-DC,Btdc,CCDS6465.1,CD273,ENSG00000197646.7,NM_025239.3,NP_079515,PD-L2,PDL2,Q9BQ51,bA574F11.2
PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	5155.0	22:39223359-39244751	1		22q13.1	yes		DFSP			M	Dom	oncogene, fusion	T	COL1A1			CCDS13987.1,ENSG00000100311.16,NM_002608.3,NP_002599,P01127,SIS,SSV
PDGFRA	platelet-derived growth factor, alpha-receptor	5156.0	4:54229097-54298247	1	Yes	4q12	yes	yes	GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma	GIST	familial gastrointestinal stromal tumour	L, M, O	Dom	oncogene, fusion	Mis, O, T	FIP1L1			CCDS3495.1,CD140a,ENSG00000134853.11,GAS9,NM_006206.4,NP_006197,NP_001334757.1,NP_001334759.1,NP_001334758.1,P16234,PDGFR2
PDGFRB	platelet-derived growth factor receptor, beta polypeptide	5159.0	5:150113837-150155860	1		5q32	yes		MPN, AML, CMML, CML			L	Dom	oncogene, fusion	T	ETV6, TRIP11, HIP1, RABEP1, H4, NIN, SPECC1, PDE4DIP			CCDS4303.1,CD140b,ENSG00000113721.13,JTK12,NM_002609.3,NP_002600,NP_001341945.1,P09619,PDGFR,PDGFR1
PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	5290.0	3:179148523-179240093	1	Yes	3q26.32	yes		colorectal, gastric, glioblastoma, breast			E, O	Dom	oncogene	Mis				CCDS43171.1,ENSG00000121879.4,NM_006218.3,NP_006209,P42336,PI3K
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	5291.0	3:138652699-138759359	1	Yes	3q22.3	yes		SCC, NSCLC			E		oncogene	Mis				CCDS3104.1,ENSG00000051382.8,NM_006219.2,NP_006210,P42338,PIK3C1
PIM1	pim-1 oncogene	5292.0	6:37170203-37175426	1	Yes	6p21.2	yes		NHL			L	Dom	oncogene, fusion	T, Mis	BCL6			CCDS4830.1,ENSG00000137193.13,NM_002648.3,NP_002639,NP_001230115.1,P11309,PIM
PLAG1	pleiomorphic adenoma gene 1	5324.0	8:56160904-56211279	1		8q12.1	yes		salivary adenoma, lipoblastoma			E	Dom	oncogene, fusion	T	TCEA1, LIFR, CTNNB1, CHCHD7, COL1A2, HAS2			CCDS6165.1,ENSG00000181690.7,NM_002655.2,NP_002646,Q6DJT9,ZNF912
PLCG1	phospholipase C, gamma 1	5335.0	20:41136960-41175721	1	Yes	20q12	yes		angiosarcoma			E	Dom	oncogene, fusion	Mis				CCDS13313.1,ENSG00000124181.14,NCKAP3,NM_002660.2,NP_002651,P19174,PLC-II,PLC1,PLC148,PLCgamma1
POLQ	DNA polymerase theta	10721.0	3:121431431-121546006	1		3q13.33	yes	yes	oral SCC	breast cancer		E		oncogene, TSG	Mis				CCDS33833.1,ENSG00000051341.13,NM_199420.3,NP_955452,O75417,POLH
POU2AF1	POU domain, class 2, associating factor 1 (OBF1)	5450.0	11:111352252-111379692	1	Yes	11q23.1	yes		NHL			L	Dom	oncogene, fusion	T	BCL6			BOB1,CCDS31675.1,ENSG00000110777.11,NM_006235.2,NP_006226,OBF1,Q16633
POU5F1	POU domain, class 5, transcription factor 1	5460.0	6:31164337-31170693	1	Yes	6p21.33	yes		sarcoma			M	Dom	oncogene, fusion	T	EWSR1			CCDS34391.1,ENSG00000204531.17,MGC22487,NM_002701.5,NP_002692,OCT3,OTF3,Oct4,Q01860
PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	8493.0	17:60600183-60666280	1	Yes	17q23.2	yes		glioma, ovarian cancer, breast cancer			E	Dom	oncogene	A, Mis, N, F				CCDS11625.1,ENSG00000170836.11,NM_003620.3,NP_003611,O15297,PP2C-DELTA,Wip1
PRDM16	PR domain containing 16	63976.0	1:3069211-3438621	1	Yes	1p36.32	yes		MDS, AML			L	Dom	oncogene, fusion	T	MECOM			CCDS41236.2,ENSG00000142611.16,KIAA1675,KMT8F,MEL1,MGC166915,NM_022114.3,NP_071397,PFM13,Q9HAZ2
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	80243.0	8:67952118-68237030	1	Yes	8q13.2	yes		melanoma, pancreatic ductal adenocarcinoma			E	Dom	oncogene	Mis, N				CCDS6201.1,DEP.2,DEPDC2,ENSG00000046889.18,FLJ12987,NM_024870.3,NP_079146,P-REX2,PPP1R129,Q70Z35
PRKACA	protein kinase cAMP-activated catalytic subunit alpha	5566.0	19:14091688-14117744	1	Yes	19p13.12	yes		fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma			E	Dom	oncogene	T, Mis, N	DNAJB1			CCDS12304.1,ENSG00000072062.13,NM_002730.3,NP_002721,NP_001291278.1,P17612,PKACa
PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	5573.0	17:68512379-68533423	1	Yes	17q24.2	yes	yes	papillary thyroid	myxoma, endocrine, papillary thyroid	Carney complex	E, M	Dom/Rec	oncogene, TSG, fusion	T, Mis, N, F, S	RET			CCDS11678.1,CNC1,ENSG00000108946.14,NM_212472.2,NP_997637,NP_002725,P10644,PRKAR1,TSE1
PSIP1	PC4 and SFRS1 interacting protein 1 (LEDGF)	11168.0	9:15464066-15511019	1	Yes	9p22.3	yes		AML			L	Dom	oncogene, fusion	T	NUP98			CCDS6479.1,DFS70,ENSG00000164985.14,LEDGF,NM_033222.4,NP_001121689,NP_150091,O75475,PSIP2,p52,p75
PTK6	protein tyrosine kinase 6	5753.0	20:63528001-63537354	1	Yes	20q13.33	yes		renal, gastric, head and neck, ovarian, others			E	Dom	oncogene, TSG	Mis, N				BRK,CCDS13524.1,ENSG00000101213.6,NM_005975.3,NP_005966,Q13882
PTPN11	protein tyrosine phosphatase, non-receptor type 11	5781.0	12:112419112-112504764	1	Yes	12q24.13	yes		JMML, AML, MDS			L	Dom	oncogene	Mis		yes	Noonan Syndrome	BPTP3,CCDS81741.1,ENSG00000179295.17,NS1,PTP2C,Q06124,SH-PTP2,SHP-2,SHP2
QKI	QKI, KH domain containing, RNA binding	9444.0	6:163414643-163578596	1	Yes	6q26	yes		angiocentric glioma, colorectal cancer			E, O	Dom	oncogene, TSG	Mis, F, T	MYB			CCDS5285.1,ENSG00000112531.16,NM_006775.2,NP_006766,Q96PU8,QK3
RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	5879.0	7:6374539-6402520	1	Yes	7p22.1	yes		melanoma, carcinoma			E	Dom	oncogene	Mis, F				CCDS5349.1,ENSG00000136238.17,NM_018890.3,NP_061485,P63000,Rac-1,TC-25,p21-Rac1
RAD21	RAD21 homolog (S. pombe)	5885.0	8:116845935-116874866	1	Yes	8q24.11	yes		AML, endometrium, colorectal, lung			L, E	Rec	oncogene, TSG	Mis, N, F		yes	Cornelia de Lange syndrome-4	CCDS6321.1,ENSG00000164754.14,KIAA0078,NM_006265.2,NP_006256,O60216,SCC1,hHR21
RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	5894.0	3:12583601-12664226	1	Yes	3p25.2	yes		pilocytic astrocytoma, prostate			O, E	Dom	oncogene, fusion	T, A	SRGAP3, ESRP1			CCDS2612.1,CRAF,ENSG00000132155.11,NM_002880.3,NP_002871,NP_001341619.1,P04049,Raf-1,c-Raf
RAP1B	Ras-Related Protein Rap-1b	5908.0	12:68610839-68671901	2		12q15	yes		glioma			O		oncogene	A, Mis				CCDS8984.1,DKFZp586H0723,ENSG00000127314.17,K-REV,P61224,RAL1B
RAP1GDS1	RAP1, GTP-GDP dissociation stimulator 1	5910.0	4:98261518-98442334	1	Yes	4q23	yes		T-ALL			L	Dom	oncogene, fusion	T	NUP98			CCDS47105.1,ENSG00000138698.14,NM_001100426.1,NP_001093896,P52306,SmgGDS
RARA	retinoic acid receptor, alpha	5914.0	17:40309194-40356796	1		17q21.2	yes		APL			L	Dom	oncogene, fusion	T	PML, ZBTB16, TRIM24, NUMA1, NPM1			CCDS11366.1,ENSG00000131759.17,NM_000964.3,NP_000955,NR1B1,P10276,RAR
RECQL4	RecQ protein-like 4	9401.0	8:144511291-144517826	1	Yes	8q24.3		yes		osteosarcoma, skin basal cell, skin sqamous cell	Rothmund-Thompson syndrome	M	Rec	oncogene, TSG	N, F, S				CCDS75804.1,ENSG00000160957.12,NM_004260.3,NP_004251,NP_004251.3,O94761,RecQ4
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	5966.0	2:60881521-60931610	1		2p16.1	yes		Hodgkin lymphoma			L	Dom	oncogene	A				CCDS1864.1,ENSG00000162924.14,I-Rel,NM_002908.3,NP_002899,Q04864,c-Rel
RET	ret proto-oncogene	5979.0	10:43077027-43130351	1	Yes	10q11.21	yes	yes	medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour	medullary thyroid,  papillary thyroid, pheochromocytoma	multiple endocrine neoplasia 2A/2B	E, O	Dom	oncogene, fusion	T, Mis, N, F	H4, PRKAR1A, NCOA4, PCM1, GOLGA5, TRIM33, KTN1, TRIM27, HOOK3, KIF5B, CCDC6	yes	Hirschsprung disease	CCDS7200.1,CDHF12,CDHR16,ENSG00000165731.18,HSCR1,MEN2A,MEN2B,MTC1,NM_020975.4,NP_066124,P07949,PTC,RET51
RHOA	ras homolog family member A	387.0	3:49359145-49412202	1	Yes	3p21.31	yes		diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma			E, L	Dom	oncogene, TSG	Mis, F, O				ARH12,ARHA,CCDS2795.1,ENSG00000067560.10,NM_001664.3,NP_001300870,NP_001655,NP_001300874.1,NP_001300873.1,P61586,RHOH12,Rho12,RhoA
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	6098.0	6:117288300-117425855	1	Yes	6q22.1	yes		glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian			O, E	Dom	oncogene, fusion	T	GOPC, SDC4, SLC34A2, EZR, LRIG3, HLA-A, MYO5A, PPFIBP1, ERC1, CLIP1, TPM3, ZCCHHC8, KIAA1598, PWWP2A			CCDS5116.1,ENSG00000047936.10,MCF3,NM_002944.2,NP_002935,P08922,ROS,c-ros-1
RSPO3	R-spondin 3	84870.0	6:127118604-127197296	1		6q22.33	yes		colorectal			E	Dom	oncogene, fusion	T	PTPRK			CCDS5135.1,ENSG00000146374.13,FLJ14440,NM_032784.4,NP_116173,Q9BXY4,THSD2
RUNX1	runt-related transcription factor 1  (AML1)	861.0	21:34787801-35049344	1		21q22.12	yes		AML, pre B-ALL, T-ALL			L	Dom	oncogene, TSG, fusion	T	RPL22, MECOM, CBFA2T3, RUNX1T1, ETV6, AFF3			AML1,AMLCR1,CBFA2,CCDS13639.1,ENSG00000159216.18,PEBP2A2,Q01196
RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862.0	8:91954967-92095654	1	Yes	8q21.3	yes		AML			L	Dom	oncogene, TSG, fusion	T	KMT2A, RUNX1			AML1T1,CBFA2T1,CCDS75766.1,CDR,ENSG00000079102.16,ETO,MTG8,NM_001198679.1,NP_001185608,ZMYND2
SALL4	spalt like transcription factor 4	57167.0	20:51782331-51802520	1	Yes	20q13.2	yes		colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma			E		oncogene	Mis, F			Duane-radial ray syndrome	CCDS13438.1,ENSG00000101115.12,NM_020436.4,NP_065169,Q9UJQ4,ZNF797,dJ1112F19.1
SET	SET translocation	6418.0	9:128683655-128696400	1		9q34.11	yes		T-ALL			L	Dom	oncogene, fusion	T	NUP214			2PP2A,CCDS48037.1,ENSG00000119335.16,IGAAD,IPP2A2,NM_001122821.1,NP_001116293,PHAPII,Q01105,TAF-I,TAF-IBETA
SETBP1	SET binding protein 1	26040.0	18:44680898-45068510	1	Yes	18q12.3	yes	yes	aCML, sAML, MDS/MPN-U, CMML, JMML	neuroepithelial tumours	Schinzel-Giedion syndrome	L	Dom	oncogene, fusion	Mis, T	NUP98			CCDS11923.2,ENSG00000152217.17,KIAA0437,NM_015559.2,NP_056374,Q9Y6X0,SEB
SETDB1	SET domain bifurcated 1	9869.0	1:150926339-150964735	2		1q21.3	yes		malignant mesothelioma			E		oncogene	F, Mis				CCDS44217.1,ENSG00000143379.12,ESET,KG1T,KIAA0067,KMT1E,NM_001145415.1,NP_001138887,Q15047,TDRD21
SF3B1	splicing factor 3b, subunit 1, 155kDa	23451.0	2:197389784-197435091	1	Yes	2q33.1	yes		myelodysplastic syndrome			L	Dom	oncogene	Mis				CCDS33356.1,ENSG00000115524.15,Hsh155,NM_012433.3,NP_036565,O75533,PRPF10,Prp10,SAP155,SF3b155
SGK1	serum/glucocorticoid regulated kinase 1	6446.0	6:134169246-134318058	2		6q23.2	yes		Nodular lymphocyte predominant Hodgkin lymphoma			L		oncogene	Mis				CCDS47476.1,ENSG00000118515.11,NM_001143676.1,NP_001137148,O00141,SGK
