GENE_SYMBOL,NAME,COSMIC_GENE_ID,CHROMOSOME,GENOME_START,GENOME_STOP,CHR_BAND,SOMATIC,GERMLINE,TUMOUR_TYPES_SOMATIC,TUMOUR_TYPES_GERMLINE,CANCER_SYNDROME,TISSUE_TYPE,MOLECULAR_GENETICS,ROLE_IN_CANCER,MUTATION_TYPES,TRANSLOCATION_PARTNER,OTHER_GERMLINE_MUT,OTHER_SYNDROME,TIER,SYNONYMS
PPARG,peroxisome proliferator activated receptor gamma,COSG111010,3,12287368.0,12434356.0,3p25.2,y,n,follicular thyroid,,,E,Dom,"TSG, fusion",T,PAX8,y,"Insulin resistance ; lipodystrophy, familial partial L;diabetes mellitus, insulin-resistantI, with acanthosis nigricans and hypertension",1,"PPARG,ENSG00000132170.20,P37231,5468,NR1C3,PPARG1,PPARG2,PPARgamma"
PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha,COSG92966,19,52190039.0,52229533.0,19q13.41,y,n,clear cell ovarian carcinoma,,,E,Dom,TSG,Mis,,n,,1,"PPP2R1A,ENSG00000105568.17,P30153,5518,PP2A-Aalpha,PP2AA,PR65A"
PPP6C,protein phosphatase 6 catalytic subunit,COSG91311,9,125146573.0,125189939.0,9q33.3,y,n,melanoma,,,E,Dom,TSG,"Mis, N",,n,,1,"PPP6C,ENSG00000119414.11,O00743,5537,PP6"
PRDM1,PR/SET domain 1,COSG106092,6,106086320.0,106109939.0,6q21,y,n,DLBCL,,,L,Rec,TSG,"D, N, Mis, F, S",,n,,1,"PRDM1,ENSG00000057657.15,O75626,639,PRDI-BF1"
PRF1,perforin 1,COSG63548,10,70597348.0,70602775.0,10q22.1,n,y,,"various leukaemia, lymphoma",,L,Rec,TSG,Mis,,y,Type 2 familial haemophagocytic lymphohistiocytosis,1,"PRF1,ENSG00000180644.7,P14222,5551,HPLH2,P1,PFP"
PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,COSG89125,17,68511780.0,68551319.0,17q24.2,y,y,papillary thyroid,"myxoma, endocrine, papillary thyroid",Carney complex,"E, M",Dom/Rec,"oncogene, TSG, fusion","T, Mis, N, F, S",RET,n,,1,"PRKAR1A,ENSG00000108946.14,P10644,5573,CNC1"
PTCH1,patched 1,COSG110583,9,95442980.0,95517057.0,9q22.32,y,y,"skin basal cell, medulloblastoma","skin basal cell, medulloblastoma",nevoid basal cell carcinoma syndrome,"E, M",Rec,TSG,"Mis, N, F, S",,n,,1,"PTCH1,ENSG00000185920.15,Q13635,5727,BCNS"
PTEN,phosphatase and tensin homolog,COSG93969,10,87863113.0,87971930.0,10q23.31,y,y,"glioma, prostate, endometrial","harmartoma, glioma, prostate, endometrial","Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome","L, E, M, O",Dom,TSG,"D, Mis, N, F, S",,n,,1,"PTEN,ENSG00000171862.10,P60484,5728,MMAC1,PTEN1,TEP1"
PTK6,protein tyrosine kinase 6,COSG110739,20,63528001.0,63537370.0,20q13.33,y,n,"renal, gastric, head and neck, ovarian, others",,,E,Dom,"oncogene, TSG","Mis, N",,n,,1,"PTK6,ENSG00000101213.6,Q13882,5753,BRK"
PTPN13,"protein tyrosine phosphatase, non-receptor type 13",COSG99040,4,86594315.0,86815171.0,4q21.3,y,y,"lung, NSCLC, gastric, peritoneal carcinomatosis",hepatocellular,Familial Hepatocellular Carcinoma,E,Rec,TSG,"Mis, N",,n,,1,"PTPN13,ENSG00000163629.12,Q12923,5783,PTP-BAS,PTP-BL,PTP1E,PTPL1"
PTPRB,"protein tyrosine phosphatase, receptor type B",COSG95132,12,70515866.0,70637440.0,12q15,y,n,angiosarcoma,,,E,Rec,TSG,"N, Mis, S, F",,n,,1,"PTPRB,ENSG00000127329.15,P23467,5787"
PTPRC,"protein tyrosine phosphatase, receptor type C",COSG68417,1,198638457.0,198757476.0,1q32.1,y,n,T-ALL,,,L,Rec,TSG,"Mis, N, S",,n,,1,"PTPRC,ENSG00000081237.19,P08575,5788,GP180,LCA,T200"
PTPRK,"protein tyrosine phosphatase, receptor type K",COSG115981,6,127968779.0,128520674.0,6q22.33,y,n,colorectal,,,E,Dom,"TSG, fusion",T,RSPO3,n,,1,"PTPRK,ENSG00000152894.14,Q15262,5796,R-PTP-kappa"
PTPRT,"protein tyrosine phosphatase, receptor type T",COSG59352,20,42072752.0,43189970.0,20q13.11,y,n,"HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma",,,E,,TSG,"Mis, N",,n,,1,"PTPRT,ENSG00000196090.12,11122,KIAA0283,RPTPrho"
QKI,"QKI, KH domain containing RNA binding",COSG84239,6,163414000.0,163578596.0,6q26,y,n,"angiocentric glioma, colorectal cancer",,,"E, O",Dom,"oncogene, TSG","Mis, F, T",MYB,n,,1,"QKI,ENSG00000112531.16,Q96PU8,9444,QK3"
RAD21,RAD21 cohesin complex component,COSG63146,8,116845935.0,116874866.0,8q24.11,y,n,"AML, endometrium, colorectal, lung",,,"L, E",Rec,"oncogene, TSG","Mis, N, F",,y,Cornelia de Lange syndrome-4,1,"RAD21,ENSG00000164754.14,O60216,5885,KIAA0078,SCC1,hHR21"
RAD50,RAD50 double strand break repair protein,COSG82484,5,132556019.0,132646344.0,5q31.1,y,y,breast cancer,breast cancer,,E,,TSG,"D, F, Mis, N, O",,n,,1,"RAD50,ENSG00000113522.13,Q92878,10111,RAD50-2,hRad50"
RAD51B,RAD51 paralog B,COSG94271,14,67819779.0,68730218.0,14q24.1,y,n,"lipoma, uterine leiomyoma",,,M,Dom,"TSG, fusion",T,HMGA2,n,,1,"RAD51B,ENSG00000182185.18,5890,R51H2,REC2,hREC2"
RAD51C,RAD51 paralog C,COSG61292,17,58692573.0,58735611.0,17q22,n,y,,"ovarian, breast","familial breast-ovarian cancer susceptibility 3, fanconi anaemia,",E,,TSG,"F, Mis, N, S",,n,,1,"RAD51C,ENSG00000108384.14,O43502,5889,FANCO,RAD51L2"
RAD51D,RAD51 paralog D,COSG100674,17,35092208.0,35121522.0,17q12,n,y,,tubo-ovarian carcinoma,,E,,TSG,"Mis, N, F",,n,,1,"RAD51D,ENSG00000185379.20,O75771,5892,HsTRAD,R51H3,Trad"
RANBP2,RAN binding protein 2,COSG59445,2,108719481.0,108785811.0,2q13,y,n,inflammatory myofibroblastic tumour,,,M,Dom,"TSG, fusion",T,ALK,n,,1,"RANBP2,ENSG00000153201.15,P49792,5903,ADANE,NUP358"
RASA1,RAS p21 protein activator 1,COSG93250,5,87267888.0,87391931.0,5q14.3,y,n,"lung SCC, oral SCC",,,E,,TSG,"N, F, S, Mis",,n,,1,"RASA1,ENSG00000145715.14,P20936,5921,CM-AVM,GAP,p120,p120GAP,p120RASGAP"
RB1,RB transcriptional corepressor 1,COSG77480,13,48303726.0,48599436.0,13q14.2,y,y,"retinoblastoma, sarcoma, breast, small cell lung carcinoma","retinoblastoma, sarcoma, breast, small cell lung carcinoma",familial retinoblastoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"RB1,ENSG00000139687.14,P06400,5925,PPP1R130,RB"
RBM10,RNA binding motif protein 10,COSG114440,X,47144869.0,47186813.0,Xp11.3,y,n,lung adenocarcinoma,,,E,Rec/X,TSG,"Mis, F, N",,y,TARP syndrome,1,"RBM10,ENSG00000182872.15,P98175,8241,DXS8237E,GPATC9,GPATCH9,KIAA0122,S1-1,ZRANB5"
RECQL4,RecQ like helicase 4,COSG81638,8,144511288.0,144517845.0,8q24.3,n,y,,"osteosarcoma, skin basal cell, skin sqamous cell",Rothmund-Thompson syndrome,M,Rec,"oncogene, TSG","N, F, S",,n,,1,"RECQL4,ENSG00000160957.12,O94761,9401,RecQ4"
RHOA,ras homolog family member A,COSG65553,3,49359145.0,49412998.0,3p21.31,y,n,"diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma",,,"E, L",Dom,"oncogene, TSG","Mis, F, O",,n,,1,"RHOA,ENSG00000067560.10,P61586,387,RHOH12,Rho12,RhoA"
RHOH,ras homolog family member H,COSG100969,4,40191053.0,40246967.0,4p14,y,n,NHL,,,L,Dom,"TSG, fusion",T,BCL6,n,,1,"RHOH,ENSG00000168421.12,Q15669,399,RhoH,TTF"
RMI2,RecQ mediated genome instability 2,COSG114685,16,11249619.0,11351762.0,16p13.13,y,n,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,CIITA,n,,1,"RMI2,ENSG00000175643.8,Q96E14,116028,BLAP18,MGC24665"
RNF43,ring finger protein 43,COSG77343,17,58352500.0,58417595.0,17q22,y,n,"cholangiocarcinoma, ovary, pancreas",,,E,Rec,TSG,"Mis, N, F, S",,n,,1,"RNF43,ENSG00000108375.12,Q68DV7,54894,DKFZp781H0392,FLJ20315,URCC"
RPL10,ribosomal protein L10,COSG112537,X,154389955.0,154409168.0,Xq28,y,n,T-ALL,,,L,Dom,TSG,Mis,,n,,1,"RPL10,ENSG00000147403.16,P27635,6134,DXS648,DXS648E,FLJ23544,L10,NOV,QM"
RPL22,ribosomal protein L22,COSG73509,1,6181269.0,6209389.0,1p36.31,y,n,"AML, CML",,,L,Dom,"TSG, fusion",T,RUNX1,n,,1,"RPL22,ENSG00000116251.9,P35268,6146,EAP,L22"
RPL5,ribosomal protein L5,COSG101735,1,92831983.0,92841924.0,1p22.1,y,n,T-ALL,,,L,Dom,TSG,"Mis, N, F",,y,Diamond-Blackfan anaemia,1,"RPL5,ENSG00000122406.13,6125,L5,PPP1R135,uL18"
RSPO2,R-spondin 2,COSG86313,8,107899316.0,108083648.0,8q23.1,y,n,colorectal,,,E,Dom,"TSG, fusion",T,EIF3E,n,,1,"RSPO2,ENSG00000147655.10,Q6UXX9,340419,MGC35555"
RUNX1,runt related transcription factor 1,COSG64498,21,34787801.0,36004667.0,21q22.12,y,n,"AML, pre B-ALL, T-ALL",,,L,Dom,"oncogene, TSG, fusion",T,"RPL22, MECOM, CBFA2T3, RUNX1T1, ETV6, AFF3",n,,1,"RUNX1,ENSG00000159216.18,Q01196,861,AMLCR1,PEBP2A2"
RUNX1T1,RUNX1 translocation partner 1,COSG111690,8,91954967.0,92103286.0,8q21.3,y,n,AML,,,L,Dom,"oncogene, TSG, fusion",T,"KMT2A, RUNX1",n,,1,"RUNX1T1,ENSG00000079102.16,862,CDR,ETO,MTG8,ZMYND2"
RXRA,retinoid X receptor alpha,COSG75470,9,134317098.0,134440585.0,9q34.2,y,n,bladder carcinoma,,,E,,TSG,"F, Mis, N",,n,,1,"RXRA,ENSG00000186350.9,P19793,6256,NR2B1"
SBDS,"SBDS, ribosome maturation factor",COSG90100,7,66987677.0,66995601.0,7q11.21,n,y,,"AML, MDS",Schwachman-Diamond syndrome,L,Rec,TSG,"F, N, O",,n,,1,"SBDS,ENSG00000126524.9,Q9Y3A5,51119,CGI-97,FLJ10917,SDS,SWDS"
SDHA,succinate dehydrogenase complex flavoprotein subunit A,COSG76340,5,218241.0,256700.0,5p15.33,y,y,"GIST, paraganglioma",paraganglioma,paragangliomas-5 (PGL5),"M, O",Rec,TSG,"Mis, N",,n,,1,"SDHA,ENSG00000073578.16,P31040,6389,FP,SDHF"
SDHAF2,succinate dehydrogenase complex assembly factor 2,COSG70475,11,61430042.0,61447529.0,11q12.2,n,y,,paraganglioma,paraganglioma syndrome 2,M,Rec,TSG,Mis,,n,,1,"SDHAF2,ENSG00000167985.6,Q9NX18,54949,FLJ20487,SDH5"
SDHB,succinate dehydrogenase complex iron sulfur subunit B,COSG111326,1,17018722.0,17054170.0,1p36.13,n,y,,"paraganglioma, pheochromocytoma",familial paraganglioma,O,Rec,TSG,"Mis, N, F",,n,,1,"SDHB,ENSG00000117118.9,P21912,6390"
SDHC,succinate dehydrogenase complex subunit C,COSG99638,1,161314257.0,161375340.0,1q23.3,n,y,,"paraganglioma, pheochromocytoma",familial paraganglioma,O,Rec,TSG,"Mis, N, F",,n,,1,"SDHC,ENSG00000143252.14,Q99643,6391,CYB560,cybL"
SDHD,succinate dehydrogenase complex subunit D,COSG95892,11,112086773.0,112120013.0,11q23.1,n,y,,"paraganglioma, pheochromocytoma",familial paraganglioma,O,Rec,TSG,"Mis, N, F, S",,n,,1,"SDHD,ENSG00000204370.10,O14521,6392,cybS"
SETD2,SET domain containing 2,COSG98373,3,47016429.0,47163967.0,3p21.31,y,n,clear cell renal carcinoma,,,E,Rec,TSG,"N, F, S, Mis",,n,,1,"SETD2,ENSG00000181555.20,Q9BYW2,29072,FLJ23184,HIF-1,HYPB,KIAA1732,KMT3A"
SFPQ,splicing factor proline and glutamine rich,COSG102257,1,35176378.0,35193148.0,1p34.3,y,n,papillary renal,,,E,Dom,"TSG, fusion",T,TFE3,n,,1,"SFPQ,ENSG00000116560.10,P23246,6421,PPP1R140,PSF"
SFRP4,secreted frizzled related protein 4,COSG92761,7,37905932.0,38025695.0,7p14.1,y,n,"colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC",,,E,Rec,TSG,Mis,,y,Pyle disease,1,"SFRP4,ENSG00000106483.11,Q6FHJ7,6424,FRP-4,FRPHE,FRZB-2,frpHE"
SH2B3,SH2B adaptor protein 3,COSG79851,12,111405948.0,111451623.0,12q24.12,y,n,"MPN, sAML, erythrocytosis, B-ALL",,,L,Rec,TSG,"Mis, F, N",,y,"Coeliac disease type 13; diabetes mellitus, insulin-dependent;",1,"SH2B3,ENSG00000111252.10,Q9UQQ2,10019,IDDM20,LNK"
SLC34A2,solute carrier family 34 member 2,COSG66821,4,25648011.0,25678748.0,4p15.2,y,n,NSCLC,,,E,Dom,"TSG, fusion",T,ROS1,n,,1,"SLC34A2,ENSG00000157765.12,O95436,10568,NAPI-3B"
SMAD2,SMAD family member 2,COSG72498,18,47808957.0,47931146.0,18q21.1,y,n,"colorectal carcinoma, hepatocellular carcinoma",,,E,Rec,TSG,"Mis, N",,n,,1,"SMAD2,ENSG00000175387.15,Q15796,4087,JV18-1,MADR2"
SMAD3,SMAD family member 3,COSG112721,15,67063763.0,67195195.0,15q22.33,y,n,"colorectal carcinoma, oral squamous cell carcinoma",,,E,Rec,TSG,Mis,,n,,1,"SMAD3,ENSG00000166949.15,P84022,4088,HsT17436,JV15-2"
SMAD4,SMAD family member 4,COSG63839,18,51028394.0,51085045.0,18q21.2,y,y,"colorectal, pancreatic, small intestine",gastrointestinal polyp,juvenile polyposis,E,Rec,TSG,"D, Mis, N, F",,n,,1,"SMAD4,ENSG00000141646.13,Q13485,4089,DPC4"
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",COSG94137,19,10960825.0,11079426.0,19p13.2,y,n,"NSCLC, SCCOHT",,,E,Rec,TSG,"F, N, Mis, S",,n,,1,"SMARCA4,ENSG00000127616.18,P51532,6597,BAF190,BRG1,FLJ39786,SNF2,SNF2-BETA,SNF2LB,SWI2,hSNF2b"
SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",COSG106041,22,23786931.0,23838008.0,22q11.23,y,y,malignant rhabdoid,malignant rhabdoid,rhabdoid predisposition syndrome,M,Rec,TSG,"D, N, F, S",,n,,1,"SMARCB1,ENSG00000099956.19,6598,BAF47,Ini1,PPP1R144,RDT,SNF5,Sfh1p,Snr1,hSNFS"
SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",COSG61073,17,40624962.0,40648864.0,17q21.2,n,y,,meningioma,,O,Rec,TSG,"F, Mis, N",,n,,1,"SMARCE1,ENSG00000073584.19,Q969G3,6605,BAF57"
SOCS1,suppressor of cytokine signaling 1,COSG89969,16,11254405.0,11256200.0,16p13.13,y,n,"Hodgkin lymphoma, PMBL",,,L,Rec,TSG,"F, O",,n,,1,"SOCS1,ENSG00000185338.5,8651,Cish1,JAB,SOCS-1,SSI-1,TIP3"
SPEN,spen family transcriptional repressor,COSG69096,1,15847864.0,15940460.0,1p36.21,y,n,"SMZL, adenoid cystic carcinoma, DLBCL",,,L,Rec,TSG,"F, Mis, N",,n,,1,"SPEN,ENSG00000065526.10,Q96T58,23013,KIAA0929,MINT,RBM15C,SHARP"
SPOP,speckle type BTB/POZ protein,COSG63219,17,49598884.0,49678234.0,17q21.33,y,y,"prostate, endometrial",prostate cancer,,E,Rec,TSG,Mis,,n,,1,"SPOP,ENSG00000121067.17,O43791,8405,BTBD32,TEF2"
STAG2,stromal antigen 2,COSG95834,X,123960212.0,124422664.0,Xq25,y,n,"bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms",,,"E, L, M, O",Rec,TSG,"Mis, N, F, S",,n,,1,"STAG2,ENSG00000101972.18,Q8N3U4,10735,SA-2,SA2,SCC3B"
STAT5B,signal transducer and activator of transcription 5B,COSG97911,17,42199168.0,42276707.0,17q21.2,y,n,"large granular lymphocytic leukaemia, skin basal cell, APL",,,"L, E",Dom,"oncogene, TSG, fusion","Mis, O, T",RARA,y,IPEX-like syndrome,1,"STAT5B,ENSG00000173757.9,P51692,6777"
STK11,serine/threonine kinase 11,COSG67170,19,1177558.0,1228435.0,19p13.3,y,y,"NSCLC, pancreatic","jejunal hamartoma, ovarian, testicular, pancreatic",Peutz-Jeghers syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"STK11,ENSG00000118046.14,Q15831,6794,LKB1,PJS"
SUFU,SUFU negative regulator of hedgehog signaling,COSG111528,10,102503987.0,102633535.0,10q24.32,y,y,medulloblastoma,medulloblastoma,medulloblastoma predisposition,O,Rec,TSG,"D, F, S",,n,,1,"SUFU,ENSG00000107882.11,Q9UMX1,51684,PRO1280,SUFUH,SUFUXL"
SUZ12,"SUZ12, polycomb repressive complex 2 subunit",COSG102561,17,31937018.0,32001045.0,17q11.2,y,n,endometrial stromal tumour,,,M,Dom,"oncogene, TSG, fusion",T,JAZF1,n,,1,"SUZ12,ENSG00000178691.10,Q15022,23512,CHET9,JJAZ1,KIAA0160"
TBL1XR1,transducin beta like 1 X-linked receptor 1,COSG96938,3,177019340.0,177228000.0,3q26.32,y,n,"splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma",,,"L, E, M",Rec,"oncogene, TSG, fusion","F, Mis, T",,n,,1,"TBL1XR1,ENSG00000177565.16,Q9BZK7,79718,C21,DC42,FLJ12894,IRA1,TBLR1"
TBX3,T-box 3,COSG61092,12,114670254.0,114684164.0,12q24.21,y,n,"breast, large intestine, skin",,,E,Dom,"oncogene, TSG","Mis, N, F, O",,y,ulnar-mammary syndrome,1,"TBX3,ENSG00000135111.15,O15119,6926,TBX3-ISO,XHL"
TCF3,transcription factor 3,COSG59650,19,1609290.0,1652605.0,19p13.3,y,n,pre B-ALL,,,L,Dom,"oncogene, TSG, fusion",T,"PBX1, HLF, TFPT",n,,1,"TCF3,ENSG00000071564.14,P15923,6929,E2A,E47,ITF1,MGC129647,MGC129648,VDIR,bHLHb21,p75"
TENT5C,terminal nucleotidyltransferase 5C,COSG82010,1,117605934.0,117628372.0,1p12,y,n,MM,,,L,Rec,TSG,"Mis, F, O",,n,,1,"TENT5C,ENSG00000183508.4,Q5VWP2,54855,FLJ20202"
TERT,telomerase reverse transcriptase,COSG76097,5,1253147.0,1295069.0,5p15.33,y,y,"melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types",melanoma,,"E, O",Dom,"oncogene, TSG",Promoter Mis,,y,"Dyskeratosis congenita, Telomere-related pulmonary fibrosis and/or bone marrow failure  1",1,"TERT,ENSG00000164362.18,O14746,7015,EST2,TCS1,TP2,TRT,hEST2"
TET1,tet methylcytosine dioxygenase 1,COSG68435,10,68560656.0,68694482.0,10q21.3,y,n,AML,,,L,Dom,"oncogene, TSG, fusion",T,KMT2A,n,,1,"TET1,ENSG00000138336.8,Q8NFU7,80312,KIAA1676,LCX,bA119F7.1"
TET2,tet methylcytosine dioxygenase 2,COSG109769,4,105145875.0,105279816.0,4q24,y,n,MDS,,,L,Rec,TSG,"Mis, N, F",,n,,1,"TET2,ENSG00000168769.13,Q6N021,54790,FLJ20032"
TGFBR2,transforming growth factor beta receptor 2,COSG68111,3,30606502.0,30694142.0,3p24.1,y,y,"head and neck, colorectal",colorectal,Hereditary Nonpolyposis Colorectal Cancer type 6,E,Rec,TSG,"Mis, F, N",,y,Loeys-Dietz syndrome 2,1,"TGFBR2,ENSG00000163513.17,P37173,7048,TBR-ii,TBRII"
TMEM127,transmembrane protein 127,COSG94256,2,96248516.0,96265994.0,2q11.2,n,y,,"pheochromocytoma, renal cell carcinoma",,"O, E",Rec,TSG,"F, N",,n,,1,"TMEM127,ENSG00000135956.8,O75204,55654,FLJ20507,FLJ22257"
TNFAIP3,TNF alpha induced protein 3,COSG107227,6,137867188.0,137883312.0,6q23.3,y,n,"marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL",,,L,Rec,TSG,"D, N, F",,n,,1,"TNFAIP3,ENSG00000118503.14,P21580,7128,A20,OTUD7C"
TNFRSF14,TNF receptor superfamily member 14,COSG68245,1,2555639.0,2565382.0,1p36.32,y,n,follicular lymphoma,,,L,Rec,TSG,"Mis, N, F",,n,,1,"TNFRSF14,ENSG00000157873.17,Q92956,8764,ATAR,CD270,HVEA,HVEM,LIGHTR,TR2"
TP53,tumor protein p53,COSG115384,17,7661779.0,7687550.0,17p13.1,y,y,"breast, colorectal, lung, sarcoma, prostate, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types","breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types",Li-Fraumeni syndrome,"L, E, M, O",Rec,"oncogene, TSG, fusion","Mis, N, F, T, D",NTRK1,n,,1,"TP53,ENSG00000141510.16,P04637,7157,LFS1,p53"
TP63,tumor protein p63,COSG61770,3,189631416.0,189897279.0,3q28,y,y,"HNSCC, DLBCL",NSCLC,,E,,"oncogene, TSG","Mis, N, T",TBL1XR1,y,"associated with Hay-Wells syndrome, ADULT syndrome, ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome (EEC), acro-dermato-ungual-lacrimal-tooth syndrome, limb mammary syndrome, Rapp-Hodgkin syndrome, split hand-split foot malformation",1,"TP63,ENSG00000073282.12,Q9H3D4,8626,EEC3,KET,NBP,OFC8,SHFM4,p51,p53CP,p63,p73H,p73L"
TPM3,tropomyosin 3,COSG101931,1,154155304.0,154194648.0,1q21.3,y,n,"papillary thyroid, ALCL, NSCLC, Spitzoid tumour",,,"E, L",Dom,"TSG, fusion",T,"NTRK1, ALK, ROS1",n,,1,"TPM3,ENSG00000143549.19,P06753,7170,TRK"
TRAF7,TNF receptor associated factor 7,COSG74104,16,2155698.0,2178129.0,16p13.3,y,n,meningioma,,,O,Dom,TSG,Mis,,n,,1,"TRAF7,ENSG00000131653.12,Q6Q0C0,84231,DKFZp586I021,MGC7807,RNF119"
TRIM24,tripartite motif containing 24,COSG114610,7,138460334.0,138589993.0,7q34,y,n,APL,,,L,Dom,"oncogene, TSG, fusion",T,RARA,n,,1,"TRIM24,ENSG00000122779.17,O15164,8805,RNF82,TIF1A,Tif1a,hTIF1"
TRIM33,tripartite motif containing 33,COSG58637,1,114392777.0,114511160.0,1p13.2,y,n,papillary thyroid,,,E,Dom,"TSG, fusion",T,RET,n,,1,"TRIM33,ENSG00000197323.11,Q9UPN9,51592,FLJ11429,KIAA1113,PTC7,RFG7,TF1G,TIF1G,TIF1GAMMA,TIFGAMMA"
TSC1,TSC complex subunit 1,COSG74466,9,132891348.0,132946874.0,9q34.13,y,y,"renal cell carcinoma, bladder carcinoma","hamartoma, renal cell carcinoma, tuberous sclerosis tuber",Tuberous sclerosis 1,"E, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"TSC1,ENSG00000165699.14,Q92574,7248,KIAA0243,LAM,hamartin"
TSC2,TSC complex subunit 2,COSG57978,16,2047465.0,2089487.0,16p13.3,y,y,"pulmonary lymphangioleiomyomatosis (LAM), renal angiomyolipoma, HNSCC","hamartoma, renal cell carcinoma, tuberous sclerosis tuber",Tuberous sclerosis 2,"E, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"TSC2,ENSG00000103197.17,P49815,7249,LAM,PPP1R160,tuberin"
VHL,von Hippel-Lindau tumor suppressor,COSG111666,3,10141008.0,10152220.0,3p25.3,y,y,"renal, haemangioma, pheochromocytoma","renal, haemangioma, pheochromocytoma",Von Hippel-Lindau syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"VHL,ENSG00000134086.7,P40337,7428,VHL1"
WIF1,WNT inhibitory factor 1,COSG112650,12,65050626.0,65121566.0,12q14.3,y,n,pleomorphic salivary gland adenoma,,,E,Dom,"TSG, fusion",T,HMGA2,n,,1,"WIF1,ENSG00000156076.9,Q9Y5W5,11197"
WRN,Werner syndrome RecQ like helicase,COSG61815,8,31033801.0,31173769.0,8p12,n,y,,"osteosarcoma, meningioma, other tumour types",Werner syndrome,"L, E, M, O",Rec,TSG,"Mis, N, F, S",,n,,1,"WRN,ENSG00000165392.9,Q14191,7486,RECQ3,RECQL2"
WT1,Wilms tumor 1,COSG61501,11,32387775.0,32435630.0,11p13,y,y,"Wilms tumour, desmoplastic small round cell tumour",Wilms tumour,"Denys-Drash syndrome, Frasier syndrome, familial Wilms tumour",O,Rec,"oncogene, TSG, fusion","D, Mis, N, F, S, T",EWSR1,n,,1,"WT1,ENSG00000184937.13,7490,AWT1,NPHS4,WAGR,WIT-2"
XPA,"XPA, DNA damage recognition and repair factor",COSG102586,9,97674909.0,97697357.0,9q22.33,n,y,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (A),E,Rec,TSG,"Mis, N, F, S",,n,,1,"XPA,ENSG00000136936.10,P23025,7507,XP1,XPAC"
XPC,"XPC complex subunit, DNA damage recognition and repair factor",COSG95459,3,14145147.0,14178783.0,3p25.1,n,y,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (C),E,Rec,TSG,"Mis, N, F, S",,n,,1,"XPC,ENSG00000154767.14,Q01831,7508,RAD4,XPCC"
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,COSG73314,17,1344272.0,1400378.0,17p13.3,y,n,endometrial stromal sarcoma,,,M,Dom,"TSG, fusion",T,"NUTM2A, NUTM2B",y,Miller-Dieker lissencephaly syndrome,1,"YWHAE,ENSG00000108953.16,P62258,7531,FLJ45465"
ZBTB16,zinc finger and BTB domain containing 16,COSG68438,11,114059593.0,114250676.0,11q23.2,y,n,APL,,,L,Dom,"TSG, fusion",T,RARA,n,,1,"ZBTB16,ENSG00000109906.13,Q05516,7704,PLZF"
ZFHX3,zinc finger homeobox 3,COSG106670,16,72782885.0,73891871.0,16q22.3,y,n,"endometrial, gastric, prostate",,,E,Dom,TSG,"Mis, N",,n,,1,"ZFHX3,ENSG00000140836.16,Q15911,463,ZNF927"
ZNF331,zinc finger protein 331,COSG73607,19,53520981.0,53580269.0,19q13.42,y,n,follicular thyroid adenoma,,,E,Dom,"TSG, fusion",T,?,n,,1,"ZNF331,ENSG00000130844.16,Q9NQX6,55422,RITA,ZNF361,ZNF463"
ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",COSG85804,X,15790472.0,15823260.0,Xp22.2,y,n,"MDS, CLL",,,L,Rec,TSG,"F, S, Mis",,n,,1,"ZRSR2,ENSG00000169249.12,Q15696,8233,U2AF1-RS2,URP,ZC3H22"
